,id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
30,15,持久情况,20,24,_, , ,功效,负面,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
31,15,_, , ,还不错,39,42,整体,正面,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
32,16,快递员,0,3,很好,3,5,物流,正面,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
33,16,_, , ,真实,40,42,功效,正面,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
34,16,_, , ,自然,38,40,功效,正面,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
35,16,_, , ,挺好用,34,37,整体,正面,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
36,17,_, , ,一般般,0,3,整体,中性,一般般，还可以，价格不算贵！用起来一般般啦
37,17,_, , ,还可以,4,7,整体,正面,一般般，还可以，价格不算贵！用起来一般般啦
38,17,价格,8,10,不算贵,10,13,价格,正面,一般般，还可以，价格不算贵！用起来一般般啦
39,18,小礼品,16,19,_, , ,价格,正面,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
40,18,_, , ,不错,9,11,整体,正面,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
41,18,快递小哥,26,30,_, , ,物流,正面,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
42,19,_, , ,很补水,17,20,功效,正面,一直买在**买一个牌子的面膜，真的很补水，用完还来
43,20,_, , ,非常喜欢,4,8,整体,正面,宝贝收到非常喜欢
44,21,_, , ,还不错,0,3,整体,正面,还不错  物流很快 用了再追评使用感受
45,21,物流,5,7,很快,7,9,物流,正面,还不错  物流很快 用了再追评使用感受
46,22,_, , ,赞,28,29,整体,正面,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?
47,23,_, , ,比较方便,9,13,使用体验,正面,用着还可以主要按压比较方便不用倒出来那种
48,23,_, , ,还可以,2,5,整体,正面,用着还可以主要按压比较方便不用倒出来那种
49,24,物流,0,2,很快,2,4,物流,正面,物流很快，商品好。支持**。
50,24,_, , ,好,7,8,整体,正面,物流很快，商品好。支持**。
51,25,_, , ,太好用了,0,4,整体,正面,太好用了，味道也很好闻，大爱！
52,25,_, , ,大爱,12,14,整体,正面,太好用了，味道也很好闻，大爱！
53,25,味道,5,7,很好闻,8,11,气味,正面,太好用了，味道也很好闻，大爱！
54,26,优惠券,19,22,_, , ,价格,正面,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了
55,26,_, , ,太合适,23,26,整体,正面,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了
56,27,物流,4,6,特别快,6,9,物流,正面,收到货了物流特别快隔离特别好
57,27,隔离,9,11,特别好,11,14,功效,正面,收到货了物流特别快隔离特别好
58,28,_, , ,很好用,0,3,整体,正面,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。
59,28,_, , ,物美价廉,19,23,价格,正面,很好用，一直都买这个牌子的，无限回购，物美价廉，持续囤货中。
60,29,_, , ,还好吧,2,5,整体,正面,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
61,29,味道,27,29,还好,29,31,气味,正面,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
62,29,_, , ,挺好用的,41,45,整体,正面,感觉还好吧，第一次用隔离，一开始操作失误出现点小问题，味道还好，送了卸妆水和面膜都挺好用的
63,30,乳液,25,27,_, , ,成分,中性,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
64,30,_, , ,水水嫩嫩的,9,14,使用体验,正面,已经用了7张，感觉水水嫩嫩的，不过在使用时，每包的乳液有不同，有的多，有的少，总之，效果OK
65,31,物流,0,2,好快,2,4,物流,正面,物流好快昨天下的单今天就到了，第一次用感觉挺好的！
66,31,_, , ,挺好,21,23,整体,正面,物流好快昨天下的单今天就到了，第一次用感觉挺好的！
67,32,发货,0,2,很快,2,4,物流,正面,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
68,32,活动,5,7,特别合算,12,16,价格,正面,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
69,32,贴合,20,22,很好,22,24,使用体验,正面,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
70,32,精华,25,27,蛮多,28,30,成分,正面,发货很快，活动期间买的，特别合算，面膜纸贴合很好，精华也蛮多，可以用好久了
71,33,_, , ,还不错,0,3,整体,正面,还不错还不错
72,34,_, , ,非常好,2,5,整体,正面,产品非常好，值得购买，质量过硬
73,35,_, , ,挺好的,6,9,整体,正面,不错媳妇用着挺好的
74,36,_, , ,很自然,10,13,功效,正面,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
75,36,_, , ,不油腻,15,18,使用体验,正面,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
76,36,_, , ,很清爽,19,22,使用体验,正面,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续
77,37,_, , ,不错,0,2,整体,正面,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
78,37,_, , ,挺好的,3,6,整体,正面,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
79,37,_, , ,挺满意的,7,11,整体,正面,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
80,37,服务,12,14,非常好,15,18,服务,正面,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。
81,38,_, , ,用着舒服,0,4,使用体验,正面,用着舒服，补水效果也不错，价格实惠，以后还会光顾
82,38,补水效果,5,9,不错,10,12,功效,正面,用着舒服，补水效果也不错，价格实惠，以后还会光顾
83,38,价格,13,15,实惠,15,17,价格,正面,用着舒服，补水效果也不错，价格实惠，以后还会光顾
84,39,_, , ,好用,0,2,整体,正面,好用，性价比很高
85,39,性价比,3,6,很高,6,8,价格,正面,好用，性价比很高
86,40,_, , ,很好,14,16,整体,正面,很温和的一款洗面奶，不紧崩，很好
87,40,_, , ,不紧崩,10,13,使用体验,正面,很温和的一款洗面奶，不紧崩，很好
88,40,_, , ,很温和,0,3,使用体验,正面,很温和的一款洗面奶，不紧崩，很好
89,41,_, , ,不错,0,2,整体,正面,不错，很好，物超所值，**值得信赖！
90,41,_, , ,很好,3,5,整体,正面,不错，很好，物超所值，**值得信赖！
91,41,_, , ,物超所值,6,10,整体,正面,不错，很好，物超所值，**值得信赖！
92,42,物流,14,16,很快,16,18,物流,正面,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评
93,42,_, , ,还可以,21,24,整体,正面,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评
94,43,速度,9,11,快,11,12,物流,正面,好评  **买东西速度快  有保证好评  **买东西速度快  有保证
95,43,_, , ,好评,0,2,整体,正面,好评  **买东西速度快  有保证好评  **买东西速度快  有保证
96,44,_, , ,小小,0,2,尺寸,负面,小小一瓶，不过看起来还不错，使用以后再来追加
97,44,_, , ,不错,11,13,整体,正面,小小一瓶，不过看起来还不错，使用以后再来追加
98,45,速度,4,6,很快,6,8,物流,正面,不错哦。速度很快，~。以后就买****的了。
99,45,_, , ,不错,0,2,整体,正面,不错哦。速度很快，~。以后就买****的了。
100,46,_, , ,很好,0,2,整体,正面,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。
101,46,_, , ,还不错,17,20,整体,正面,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。
102,46,_, , ,很喜欢,35,38,整体,正面,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。
103,47,_, , ,差评,13,15,整体,负面,买了就直接降价20，真的是差评差评，太坑了。
104,47,_, , ,太坑了,18,21,整体,负面,买了就直接降价20，真的是差评差评，太坑了。
105,48,味道,10,12,还好,12,14,气味,正面,刚收到货 还没用开始味道还好 到时在评论
106,49,_, , ,还不错,2,5,整体,正面,用了还不错，店家还送了两瓶卸妆水也很好哦
107,49,_, , ,很好,17,19,整体,正面,用了还不错，店家还送了两瓶卸妆水也很好哦
108,50,_, , ,不错,2,4,整体,正面,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！
109,50,活动,25,27,_, , ,价格,正面,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！
110,50,_, , ,物美价廉,28,32,价格,正面,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！
111,51,快递,0,2,挺快的,2,5,物流,正面,快递挺快的，用了一片了，目前没有过敏
112,51,_, , ,没有过敏,14,18,使用体验,正面,快递挺快的，用了一片了，目前没有过敏
113,52,价格,12,14,便宜,14,16,价格,正面,多次购买了，效果不错哦，价格便宜
114,52,_, , ,不错,8,10,整体,正面,多次购买了，效果不错哦，价格便宜
115,53,精华液量,2,6,非常足,6,9,成分,正面,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用
116,53,保湿效果,10,14,棒棒哒,14,17,功效,正面,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用
117,54,_, , ,很好用,0,3,整体,正面,很好用。还还送了1替换装。
118,55,降价,3,5,_, , ,价格,负面,买完就降价啦 不开心
119,55,_, , ,不开心,7,10,整体,负面,买完就降价啦 不开心
120,56,_, , ,好,13,14,整体,正面,用了半个月了才来评价一个字好好好，值得拥有。??
121,57,泡沫,8,10,少,10,11,使用体验,负面,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时
122,57,清洗,12,14,很干净,14,17,功效,正面,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时
123,57,气味,18,20,优雅,20,22,气味,正面,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时
124,57,发货,28,30,及时,30,32,物流,正面,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时
125,58,物流,37,39,非常快,39,42,物流,正面,之前用的是她家另一款，用着不错，还推荐了同事，这次买这一款试试，希望好用，物流非常快，到山西一天
126,59,配送速度,18,22,很快,23,25,物流,正面,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！
127,59,_, , ,挺好的,2,5,整体,正面,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！
128,59,_, , ,五星好评,27,31,整体,正面,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！
129,60,包装,2,4,很好,4,6,包装,正面,面膜包装很好，还多送的几片，
130,61,_, , ,好用,0,2,整体,正面,好用，一如既往的用这个牌子
131,62,_, , ,很不错,0,3,整体,正面,很不错，香香抹了点在手上，感觉不错的，
132,62,_, , ,不错,15,17,整体,正面,很不错，香香抹了点在手上，感觉不错的，
133,63,_, , ,超喜欢,0,3,整体,正面,超喜欢，感觉无比的高大上，点32个赞！满足我的超级少女心
134,63,_, , ,无比的高大上,6,12,整体,正面,超喜欢，感觉无比的高大上，点32个赞！满足我的超级少女心
135,64,_, , ,是正品,0,3,真伪,正面,是正品，一直在它家买
136,65,_, , ,挺不错的,0,4,整体,正面,挺不错的，送了很多东西，婆婆妈一直用这个。
137,66,卸妆效果,3,7,非常好,7,10,功效,正面,好用，卸妆效果非常好，用完会回购
138,66,_, , ,好用,0,2,整体,正面,好用，卸妆效果非常好，用完会回购
139,67,_, , ,很好,0,2,整体,正面,很好，一直以来都是用的这款面膜！
140,68,_, , ,很满意,46,49,整体,正面,一直选择****，现在感觉**的价格优势比不过~了，只剩下次日达还能安慰一下产品挺好用，老婆很满意
141,68,_, , ,挺好用,40,43,整体,正面,一直选择****，现在感觉**的价格优势比不过~了，只剩下次日达还能安慰一下产品挺好用，老婆很满意
142,69,_, , ,非常不错,0,4,整体,正面,非常不错噢
143,70,水分,6,8,充足,8,10,成分,正面,面膜很好用，水分充足！
144,70,_, , ,很好用,2,5,整体,正面,面膜很好用，水分充足！
145,71,_, , ,是正品,0,3,真伪,正面,是正品，一直信赖**，可以放心购买
146,72,活动,0,2,_, , ,价格,正面,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。
147,72,瓶子,13,15,很漂亮,15,18,包装,正面,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。
148,72,瓶口,21,23,没有密封口,23,28,包装,负面,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。
149,73,_, , ,蛮好的,7,10,整体,正面,面膜比较补水，蛮好的
150,73,_, , ,比较补水,2,6,功效,正面,面膜比较补水，蛮好的
151,74,_, , ,超值,5,7,价格,正面,买一赠一，超值，看了一下，正好适合孩子的肤质使用，必须下手啊
152,75,_, , ,非常好用,0,4,整体,正面,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉
153,75,遮瑕效果,22,26,特别好,27,30,功效,正面,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉
154,75,_, , ,不会掉粉,31,35,使用体验,正面,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉
155,76,_, , ,很滑,3,5,使用体验,负面,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑
156,76,_, , ,不太适合,9,13,整体,负面,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑
157,77,发货,7,9,很快,15,17,物流,正面,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**
158,77,送货速度,10,14,很快,15,17,物流,正面,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**
159,77,快递小哥,18,22,很好,23,25,物流,正面,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**
160,78,_, , ,很好用,11,14,整体,正面,用过***的还有一种，很好用，想试一试这一款
161,79,发货,0,2,迅速,2,4,物流,正面,发货迅速而且质量不错，已经是第二次购买了
162,79,_, , ,不错,8,10,整体,正面,发货迅速而且质量不错，已经是第二次购买了
163,80,_, , ,很好,0,2,整体,正面,很好，很快，还会继续支持**。加油加油加油
164,80,_, , ,很快,3,5,物流,正面,很好，很快，还会继续支持**。加油加油加油
165,81,_, , ,不油腻,10,13,使用体验,正面,真的很好用，很自然。不油腻，好推开。用了好多年了！
166,81,_, , ,好推开,14,17,使用体验,正面,真的很好用，很自然。不油腻，好推开。用了好多年了！
167,81,_, , ,很自然,6,9,功效,正面,真的很好用，很自然。不油腻，好推开。用了好多年了！
168,81,_, , ,很好用,2,5,整体,正面,真的很好用，很自然。不油腻，好推开。用了好多年了！
169,82,_, , ,好评,28,30,整体,正面,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评
170,82,_, , ,好极了,0,3,整体,正面,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评
171,82,_, , ,喜欢,9,11,整体,正面,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评
172,82,_, , ,没毛病,20,23,整体,正面,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评
173,83,_, , ,非常喜欢,5,9,整体,正面,非常满意，非常喜欢，谢谢亲爱的卖家
174,83,_, , ,非常满意,0,4,整体,正面,非常满意，非常喜欢，谢谢亲爱的卖家
175,84,_, , ,超级满意,6,10,整体,正面,好用又便宜 超级满意
176,84,_, , ,好用,0,2,整体,正面,好用又便宜 超级满意
177,84,_, , ,便宜,3,5,价格,正面,好用又便宜 超级满意
178,85,_, , ,真心不错,3,7,整体,正面,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的
179,85,物流,21,23,超快的,25,28,物流,正面,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的
180,85,_, , ,滑滑的,13,16,使用体验,正面,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的
181,85,_, , ,非常舒服,16,20,使用体验,正面,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的
182,86,_, , ,好用,7,9,整体,正面,非常非常的地，好用划算
183,86,_, , ,划算,9,11,价格,正面,非常非常的地，好用划算
184,87,性价比,18,21,很高,21,23,价格,正面,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！
185,87,_, , ,不错的,9,12,整体,正面,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！
186,88,_, , ,没有过敏,3,7,使用体验,正面,我用了没有过敏，挺好的
187,88,_, , ,挺好的,8,11,整体,正面,我用了没有过敏，挺好的
188,89,快递员,10,13,很敬业,13,16,物流,正面,还没用，感觉挺好的。快递员很敬业。
189,89,_, , ,挺好的,6,9,整体,正面,还没用，感觉挺好的。快递员很敬业。
190,90,_, , ,好用,0,2,整体,正面,好用，喜欢这个牌子
191,91,_, , ,喜欢,7,9,整体,正面,很多次购买了，喜欢！哈哈哈哈哈哈??
192,92,_, , ,五星好评,0,4,整体,正面,五星好评，快递和服务都好评
193,92,快递,5,7,好评,11,13,包装,正面,五星好评，快递和服务都好评
194,92,服务,8,10,好评,11,13,服务,正面,五星好评，快递和服务都好评
195,93,发货,0,2,速度快,2,5,物流,正面,发货速度快，质量还可以，下次有需要下次还来。
196,93,_, , ,还可以,8,11,整体,正面,发货速度快，质量还可以，下次有需要下次还来。
197,94,服务态度,3,7,好,7,8,服务,正面,好用，服务态度好
198,94,_, , ,好用,0,2,整体,正面,好用，服务态度好
199,95,_, , ,还挺好的,3,7,整体,正面,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?
200,95,补水效果,10,14,很好,14,16,功效,正面,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?
201,95,快递小哥态度,17,23,很好,14,16,物流,正面,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?
202,96,快递公司,8,12,给力,14,16,物流,正面,产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞。
203,96,快递小哥,33,37,点赞,37,39,物流,正面,产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞。
204,97,补水效果,12,16,非常不错,16,20,功效,正面,一直以来都在用这个产品，补水效果非常不错！会继续支持！
205,98,快递,0,2,点个赞,2,5,物流,正面,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒
206,98,快递,0,2,超级快,6,9,物流,正面,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒
207,98,质量,10,12,杠杠滴,14,17,其他,正面,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒
208,98,_, , ,很不错,32,35,整体,正面,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒
209,98,_, , ,棒棒哒,36,39,整体,正面,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒
210,99,快递速度,2,6,快,6,7,物流,正面,**快递速度快，性价比不错，好。。。。。
211,99,性价比,8,11,不错,11,13,价格,正面,**快递速度快，性价比不错，好。。。。。
212,100,价格,8,10,没有原来美好,10,16,价格,中性,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠
213,100,_, , ,很划算,0,3,价格,正面,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠
214,100,_, , ,一直棒棒,38,42,整体,正面,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠
215,100,_, , ,实惠,44,46,价格,正面,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠
216,101,_, , ,很不错,0,3,整体,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
217,101,_, , ,很滋润,15,18,使用体验,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
218,101,_, , ,很水润,21,24,使用体验,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
219,101,价格,25,27,很实惠,27,30,价格,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
220,101,到货速度,36,40,很快,40,42,物流,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
221,101,_, , ,很满意,43,46,整体,正面,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个
222,102,_, , ,有点假白,3,7,功效,负面,刚上脸有点假白 半小时后就自然了
223,103,_, , ,超级好用,14,18,整体,正面,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～
224,103,_, , ,便宜,43,45,价格,正面,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～
225,104,_, , ,挺好用的,7,11,整体,正面,为**来买，还挺好用的。
226,105,活动,0,2,很划算,2,5,价格,正面,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西
227,105,清洁,6,8,很彻底,8,11,功效,正面,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西
228,105,泡沫,12,14,丰富,14,16,使用体验,正面,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西
229,105,_, , ,好用,20,22,整体,正面,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西
230,106,快递小哥,14,18,_, , ,物流,正面,好评，支持***，支持**的快递小哥，给快递小哥万个赞
231,107,_, , ,划算,10,12,价格,正面,在***买了好多单，划算！！！一直用***，趁双11多屯点东西！慢慢用！
232,108,_, , ,不错,8,10,整体,正面,昨天刚收到，看着不错，满意
233,108,_, , ,满意,11,13,整体,正面,昨天刚收到，看着不错，满意
234,109,_, , ,还不错,2,5,整体,正面,感觉还不错啊，和我的皮肤颜色相近，喜欢！
235,109,_, , ,喜欢,17,19,整体,正面,感觉还不错啊，和我的皮肤颜色相近，喜欢！
236,109,_, , ,颜色相近,12,16,功效,正面,感觉还不错啊，和我的皮肤颜色相近，喜欢！
237,110,快递,22,24,特别快,24,27,物流,正面,一直在用***的面膜买了好多好多趟，用了几年快递特别快。爱你。
238,111,_, , ,不错,1,3,整体,正面,还不错，稍有些粘腻
239,111,_, , ,有些粘腻,5,9,使用体验,负面,还不错，稍有些粘腻
240,112,_, , ,还可以,0,3,整体,正面,还可以，味道有种似曾相识
241,113,_, , ,物美价廉,5,9,价格,正面,值得购买，物美价廉
242,114,气味,0,2,很好闻,2,5,气味,正面,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错
243,114,盒子,17,19,粉粉的,14,17,包装,正面,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错
244,114,_, , ,不错,27,29,整体,正面,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错
245,115,_, , ,好用,14,16,整体,正面,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！
246,115,_, , ,更优惠,22,25,价格,正面,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！
247,116,_, , ,还OK,16,19,整体,正面,已收到货，多次购买了。我个人认为还OK。用完还会再来的
248,117,_, , ,挺好用的,9,13,整体,正面,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?
249,117,活动,17,19,_, , ,价格,正面,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?
250,118,送货速度,0,4,很快,4,6,物流,正面,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好
251,118,_, , ,很好,41,43,整体,正面,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好
252,119,_, , ,喜欢,0,2,整体,正面,喜欢。很划算
253,119,_, , ,很划算,3,6,价格,正面,喜欢。很划算
254,120,隔离,10,12,好,16,17,功效,正面,用过一瓶了，又买的，隔离保湿效果好，不干
255,120,保湿效果,12,16,好,16,17,功效,正面,用过一瓶了，又买的，隔离保湿效果好，不干
256,120,_, , ,不干,18,20,使用体验,正面,用过一瓶了，又买的，隔离保湿效果好，不干
257,121,_, , ,超级喜欢,13,17,整体,正面,高端霸气上档次，仔仔细细，超级喜欢，下次还回来购买！！！
258,122,_, , ,挺不错的,5,9,整体,正面,这款卸妆水挺不错的，一直用这款
